Plot Title: 3rd Site,,
#,"Date Time, GMT-07:00","Temp, °C (LGR S/N: 10998544, SEN S/N: 10998544)"
338,9/27/2016 21:48,27.468
339,9/27/2016 22:03,27.37
340,9/27/2016 22:18,27.37
341,9/27/2016 22:33,27.272
342,9/27/2016 22:48,27.272
343,9/27/2016 23:03,27.272
344,9/27/2016 23:18,27.173
345,9/27/2016 23:33,27.173
346,9/27/2016 23:48,27.173
347,9/28/2016 0:03,27.173
348,9/28/2016 0:18,27.075
349,9/28/2016 0:33,27.075
350,9/28/2016 0:48,27.075
351,9/28/2016 1:03,27.075
352,9/28/2016 1:18,27.075
353,9/28/2016 1:33,27.075
354,9/28/2016 1:48,27.075
355,9/28/2016 2:03,27.075
356,9/28/2016 2:18,27.075
357,9/28/2016 2:33,27.075
358,9/28/2016 2:48,27.075
359,9/28/2016 3:03,27.075
360,9/28/2016 3:18,26.977
361,9/28/2016 3:33,26.977
362,9/28/2016 3:48,26.879
363,9/28/2016 4:03,26.879
364,9/28/2016 4:18,26.879
365,9/28/2016 4:33,26.879
366,9/28/2016 4:48,26.879
367,9/28/2016 5:03,26.781
368,9/28/2016 5:18,26.781
369,9/28/2016 5:33,26.781
370,9/28/2016 5:48,26.683
371,9/28/2016 6:03,26.683
372,9/28/2016 6:18,26.683
373,9/28/2016 6:33,26.683
374,9/28/2016 6:48,26.683
375,9/28/2016 7:03,26.683
376,9/28/2016 7:18,26.683
377,9/28/2016 7:33,26.683
378,9/28/2016 7:48,26.683
379,9/28/2016 8:03,26.683
380,9/28/2016 8:18,26.585
381,9/28/2016 8:33,26.683
382,9/28/2016 8:48,26.585
383,9/28/2016 9:03,26.683
384,9/28/2016 9:18,26.977
385,9/28/2016 9:33,27.272
386,9/28/2016 9:48,27.37
387,9/28/2016 10:03,27.567
388,9/28/2016 10:18,27.764
389,9/28/2016 10:33,27.961
390,9/28/2016 10:48,28.159
391,9/28/2016 11:03,28.357
392,9/28/2016 11:18,28.456
393,9/28/2016 11:33,28.555
394,9/28/2016 11:48,28.754
395,9/28/2016 12:03,28.953
396,9/28/2016 12:18,29.152
397,9/28/2016 12:33,29.652
398,9/28/2016 12:48,30.255
399,9/28/2016 13:03,29.652
400,9/28/2016 13:18,29.452
401,9/28/2016 13:33,29.452
402,9/28/2016 13:48,29.752
403,9/28/2016 14:03,29.652
404,9/28/2016 14:18,29.652
405,9/28/2016 14:33,29.452
406,9/28/2016 14:48,29.352
407,9/28/2016 15:03,29.352
408,9/28/2016 15:18,29.252
409,9/28/2016 15:33,29.053
410,9/28/2016 15:48,28.953
411,9/28/2016 16:03,28.853
412,9/28/2016 16:18,28.555
413,9/28/2016 16:33,28.456
414,9/28/2016 16:48,28.456
415,9/28/2016 17:03,28.555
416,9/28/2016 17:18,28.655
417,9/28/2016 17:33,28.655
418,9/28/2016 17:48,28.456
419,9/28/2016 18:03,28.456
420,9/28/2016 18:18,28.456
421,9/28/2016 18:33,28.258
422,9/28/2016 18:48,28.159
423,9/28/2016 19:03,28.06
424,9/28/2016 19:18,28.06
425,9/28/2016 19:33,28.06
426,9/28/2016 19:48,28.159
427,9/28/2016 20:03,28.06
428,9/28/2016 20:18,28.06
429,9/28/2016 20:33,27.961
430,9/28/2016 20:48,27.961
431,9/28/2016 21:03,27.862
432,9/28/2016 21:18,27.862
433,9/28/2016 21:33,27.862
434,9/28/2016 21:48,27.764
435,9/28/2016 22:03,27.764
436,9/28/2016 22:18,27.665
437,9/28/2016 22:33,27.665
438,9/28/2016 22:48,27.567
439,9/28/2016 23:03,27.567
440,9/28/2016 23:18,27.567
441,9/28/2016 23:33,27.468
442,9/28/2016 23:48,27.468
443,9/29/2016 0:03,27.468
444,9/29/2016 0:18,27.468
445,9/29/2016 0:33,27.37
446,9/29/2016 0:48,27.37
447,9/29/2016 1:03,27.37
448,9/29/2016 1:18,27.37
449,9/29/2016 1:33,27.37
450,9/29/2016 1:48,27.37
451,9/29/2016 2:03,27.37
452,9/29/2016 2:18,27.37
453,9/29/2016 2:33,27.272
454,9/29/2016 2:48,27.272
455,9/29/2016 3:03,27.272
456,9/29/2016 3:18,27.272
457,9/29/2016 3:33,27.173
458,9/29/2016 3:48,27.173
459,9/29/2016 4:03,27.173
460,9/29/2016 4:18,27.173
461,9/29/2016 4:33,27.173
462,9/29/2016 4:48,27.173
463,9/29/2016 5:03,27.075
464,9/29/2016 5:18,27.075
465,9/29/2016 5:33,26.977
466,9/29/2016 5:48,26.977
467,9/29/2016 6:03,26.977
468,9/29/2016 6:18,26.879
469,9/29/2016 6:33,26.879
470,9/29/2016 6:48,26.781
471,9/29/2016 7:03,26.781
472,9/29/2016 7:18,26.781
473,9/29/2016 7:33,26.781
474,9/29/2016 7:48,26.879
475,9/29/2016 8:03,26.781
476,9/29/2016 8:18,26.781
477,9/29/2016 8:33,26.879
478,9/29/2016 8:48,27.075
479,9/29/2016 9:03,27.075
480,9/29/2016 9:18,27.272
481,9/29/2016 9:33,27.567
482,9/29/2016 9:48,27.665
483,9/29/2016 10:03,27.862
484,9/29/2016 10:18,28.06
485,9/29/2016 10:33,28.159
486,9/29/2016 10:48,28.357
487,9/29/2016 11:03,28.555
488,9/29/2016 11:18,28.655
489,9/29/2016 11:33,28.853
490,9/29/2016 11:48,29.053
491,9/29/2016 12:03,29.252
492,9/29/2016 12:18,29.352
493,9/29/2016 12:33,29.853
494,9/29/2016 12:48,30.154
495,9/29/2016 13:03,29.752
496,9/29/2016 13:18,29.652
497,9/29/2016 13:33,29.752
498,9/29/2016 13:48,29.853
499,9/29/2016 14:03,29.853
500,9/29/2016 14:18,29.853
501,9/29/2016 14:33,29.953
502,9/29/2016 14:48,29.953
503,9/29/2016 15:03,29.853
504,9/29/2016 15:18,29.752
505,9/29/2016 15:33,29.752
506,9/29/2016 15:48,29.552
507,9/29/2016 16:03,29.552
508,9/29/2016 16:18,29.452
509,9/29/2016 16:33,29.252
510,9/29/2016 16:48,29.053
511,9/29/2016 17:03,28.853
512,9/29/2016 17:18,28.754
513,9/29/2016 17:33,28.555
514,9/29/2016 17:48,28.456
515,9/29/2016 18:03,28.357
516,9/29/2016 18:18,28.159
517,9/29/2016 18:33,28.159
518,9/29/2016 18:48,28.06
519,9/29/2016 19:03,27.961
520,9/29/2016 19:18,27.961
521,9/29/2016 19:33,27.961
522,9/29/2016 19:48,27.961
523,9/29/2016 20:03,27.961
524,9/29/2016 20:18,27.961
525,9/29/2016 20:33,27.961
526,9/29/2016 20:48,27.961
527,9/29/2016 21:03,27.961
528,9/29/2016 21:18,27.961
529,9/29/2016 21:33,27.961
530,9/29/2016 21:48,27.961
531,9/29/2016 22:03,27.862
532,9/29/2016 22:18,27.862
533,9/29/2016 22:33,27.764
534,9/29/2016 22:48,27.764
535,9/29/2016 23:03,27.665
536,9/29/2016 23:18,27.665
537,9/29/2016 23:33,27.665
538,9/29/2016 23:48,27.567
539,9/30/2016 0:03,27.567
540,9/30/2016 0:18,27.468
541,9/30/2016 0:33,27.468
542,9/30/2016 0:48,27.468
543,9/30/2016 1:03,27.468
544,9/30/2016 1:18,27.468
545,9/30/2016 1:33,27.37
546,9/30/2016 1:48,27.37
547,9/30/2016 2:03,27.37
548,9/30/2016 2:18,27.37
549,9/30/2016 2:33,27.37
550,9/30/2016 2:48,27.37
551,9/30/2016 3:03,27.37
552,9/30/2016 3:18,27.37
553,9/30/2016 3:33,27.272
554,9/30/2016 3:48,27.272
555,9/30/2016 4:03,27.272
556,9/30/2016 4:18,27.272
557,9/30/2016 4:33,27.173
558,9/30/2016 4:48,27.173
559,9/30/2016 5:03,27.173
560,9/30/2016 5:18,27.075
561,9/30/2016 5:33,27.075
562,9/30/2016 5:48,27.075
563,9/30/2016 6:03,27.075
564,9/30/2016 6:18,26.977
565,9/30/2016 6:33,26.977
566,9/30/2016 6:48,26.977
567,9/30/2016 7:03,26.879
568,9/30/2016 7:18,26.879
569,9/30/2016 7:33,26.879
570,9/30/2016 7:48,26.879
571,9/30/2016 8:03,26.879
572,9/30/2016 8:18,26.977
573,9/30/2016 8:33,27.075
574,9/30/2016 8:48,27.075
575,9/30/2016 9:03,27.173
576,9/30/2016 9:18,27.37
577,9/30/2016 9:33,27.567
578,9/30/2016 9:48,27.665
579,9/30/2016 10:03,27.862
580,9/30/2016 10:18,28.06
581,9/30/2016 10:33,28.159
582,9/30/2016 10:48,28.357
583,9/30/2016 11:03,28.555
584,9/30/2016 11:18,28.655
585,9/30/2016 11:33,28.853
586,9/30/2016 11:48,28.953
587,9/30/2016 12:03,29.152
588,9/30/2016 12:18,29.452
589,9/30/2016 12:33,29.853
590,9/30/2016 12:48,29.853
591,9/30/2016 13:03,29.752
592,9/30/2016 13:18,29.752
593,9/30/2016 13:33,29.752
594,9/30/2016 13:48,29.853
595,9/30/2016 14:03,29.752
596,9/30/2016 14:18,29.752
597,9/30/2016 14:33,29.752
598,9/30/2016 14:48,29.752
599,9/30/2016 15:03,29.752
600,9/30/2016 15:18,29.652
601,9/30/2016 15:33,29.552
602,9/30/2016 15:48,29.452
603,9/30/2016 16:03,29.352
604,9/30/2016 16:18,29.152
605,9/30/2016 16:33,29.053
606,9/30/2016 16:48,28.953
607,9/30/2016 17:03,28.853
608,9/30/2016 17:18,28.754
609,9/30/2016 17:33,28.655
610,9/30/2016 17:48,28.456
611,9/30/2016 18:03,28.357
612,9/30/2016 18:18,28.258
613,9/30/2016 18:33,28.159
614,9/30/2016 18:48,28.159
615,9/30/2016 19:03,28.06
616,9/30/2016 19:18,28.06
617,9/30/2016 19:33,28.06
618,9/30/2016 19:48,27.961
619,9/30/2016 20:03,27.961
620,9/30/2016 20:18,27.862
621,9/30/2016 20:33,27.862
622,9/30/2016 20:48,27.862
623,9/30/2016 21:03,27.961
624,9/30/2016 21:18,27.862
625,9/30/2016 21:33,27.862
626,9/30/2016 21:48,27.862
627,9/30/2016 22:03,27.764
628,9/30/2016 22:18,27.764
629,9/30/2016 22:33,27.665
630,9/30/2016 22:48,27.665
631,9/30/2016 23:03,27.665
632,9/30/2016 23:18,27.567
633,9/30/2016 23:33,27.567
